"ID","Task","Date","Assignee","Status","Category","Notes","Source URL"
"requests-001","Check meeting-room equipment","2026-09-07","Maya","To do","Operations","Synthetic sample. Try editing this record.",""
"requests-002","Update supplier contacts","2026-09-08","Alex","In progress","Project","Synthetic sample. Try editing this record.",""
"requests-003","Review supply requests","2026-09-09","Sam","In review","Support","Synthetic sample. Try editing this record.",""
"requests-004","Revise the visitor guide","2026-09-10","Rin","Done","Operations","Synthetic sample. Try editing this record.",""
"requests-005","Arrange a laptop loan","2026-09-11","Maya","To do","Project","Synthetic sample. Try editing this record.",""
"requests-006","Coordinate event support","2026-09-12","Alex","In progress","Support","Synthetic sample. Try editing this record.",""
"requests-007","Organize the shared folder","2026-09-13","Sam","In review","Operations","Synthetic sample. Try editing this record.",""
"requests-008","Confirm training dates","2026-09-14","Rin","Done","Project","Synthetic sample. Try editing this record.",""
"requests-009","Draft a support response","2026-09-15","Maya","To do","Support","Synthetic sample. Try editing this record.",""
"requests-010","Improve the intake form","2026-09-16","Alex","In progress","Operations","Synthetic sample. Try editing this record.",""
"requests-011","Archive completed requests","2026-09-04","Sam","In review","Project","Synthetic sample. Try editing this record.",""
"requests-012","Review paused requests","","Rin","Done","Support","Synthetic sample. Try editing this record.",""
