"ID","Task","Date","Assignee","Status","Category","Notes","Source URL"
"content-001","Draft September newsletter","2026-09-07","Maya","To do","Operations","Synthetic sample. Try editing this record.",""
"content-002","Review product video","2026-09-08","Alex","In progress","Project","Synthetic sample. Try editing this record.",""
"content-003","Interview a customer","2026-09-09","Sam","In review","Support","Synthetic sample. Try editing this record.",""
"content-004","Publish the event notice","2026-09-10","Rin","Done","Operations","Synthetic sample. Try editing this record.",""
"content-005","Review the blog draft","2026-09-11","Maya","To do","Project","Synthetic sample. Try editing this record.",""
"content-006","Update brand resources","2026-09-12","Alex","In progress","Support","Synthetic sample. Try editing this record.",""
"content-007","Plan the next campaign","2026-09-13","Sam","In review","Operations","Synthetic sample. Try editing this record.",""
"content-008","Check video captions","2026-09-14","Rin","Done","Project","Synthetic sample. Try editing this record.",""
"content-009","Confirm photo permissions","2026-09-15","Maya","To do","Support","Synthetic sample. Try editing this record.",""
"content-010","Summarize event results","2026-09-16","Alex","In progress","Operations","Synthetic sample. Try editing this record.",""
"content-011","Archive earlier updates","2026-09-04","Sam","In review","Project","Synthetic sample. Try editing this record.",""
"content-012","Collect content ideas","","Rin","Done","Support","Synthetic sample. Try editing this record.",""
