"ID","Task","Date","Assignee","Status","Category","Notes","Source URL"
"team-001","Draft the quarterly roadmap","2026-09-07","Maya","To do","Operations","Synthetic sample. Try editing this record.",""
"team-002","Review customer feedback","2026-09-08","Alex","In progress","Project","Synthetic sample. Try editing this record.",""
"team-003","Prepare partner meeting","2026-09-09","Sam","In review","Support","Synthetic sample. Try editing this record.",""
"team-004","Update the onboarding guide","2026-09-10","Rin","Done","Operations","Synthetic sample. Try editing this record.",""
"team-005","Check the launch checklist","2026-09-11","Maya","To do","Project","Synthetic sample. Try editing this record.",""
"team-006","Share the weekly update","2026-09-12","Alex","In progress","Support","Synthetic sample. Try editing this record.",""
"team-007","Review next month’s budget","2026-09-13","Sam","In review","Operations","Synthetic sample. Try editing this record.",""
"team-008","Refresh support documentation","2026-09-14","Rin","Done","Project","Synthetic sample. Try editing this record.",""
"team-009","Run the team retrospective","2026-09-15","Maya","To do","Support","Synthetic sample. Try editing this record.",""
"team-010","Schedule customer interviews","2026-09-16","Alex","In progress","Operations","Synthetic sample. Try editing this record.",""
"team-011","Follow up on earlier requests","2026-09-04","Sam","In review","Project","Synthetic sample. Try editing this record.",""
"team-012","Scope equipment replacement","","Rin","Done","Support","Synthetic sample. Try editing this record.",""
